# W0 [GeV]	Sigma_muLHC@5.3 TeV [pb]	Sigma_muLHC@7.5 TeV [pb]
4.59667893e+02	2.84130906e-04	1.72289207e-04
4.61124682e+02	2.82422055e-04	1.71170456e-04
4.62586088e+02	2.80707788e-04	1.70048159e-04
4.64052125e+02	2.78988087e-04	1.68922306e-04
4.65522808e+02	2.77262937e-04	1.67792884e-04
4.66998152e+02	2.75547707e-04	1.66671103e-04
4.68478172e+02	2.73859657e-04	1.65569546e-04
4.69962883e+02	2.72166257e-04	1.64464499e-04
4.71452299e+02	2.70467489e-04	1.63355949e-04
4.72946435e+02	2.68763339e-04	1.62243886e-04
4.74445306e+02	2.67077874e-04	1.61145785e-04
4.75948928e+02	2.65411028e-04	1.60061596e-04
4.77457315e+02	2.63738900e-04	1.58973971e-04
4.78970482e+02	2.62061472e-04	1.57882900e-04
4.80488445e+02	2.60378728e-04	1.56788370e-04
4.82011218e+02	2.58723527e-04	1.55713922e-04
4.83538818e+02	2.57078393e-04	1.54647039e-04
4.85071259e+02	2.55428046e-04	1.53576774e-04
4.86608557e+02	2.53772468e-04	1.52503117e-04
4.88150726e+02	2.52111643e-04	1.51426058e-04
4.89697783e+02	2.50486769e-04	1.50375163e-04
4.91249743e+02	2.48863277e-04	1.49325625e-04
4.92806622e+02	2.47234641e-04	1.48272760e-04
4.94368435e+02	2.45600842e-04	1.47216559e-04
4.95935197e+02	2.43963987e-04	1.46159247e-04
4.97506925e+02	2.42367926e-04	1.45147063e-04
4.99083634e+02	2.40766806e-04	1.44131672e-04
5.00665340e+02	2.39160612e-04	1.43113062e-04
5.02252058e+02	2.37549328e-04	1.42091224e-04
5.03843806e+02	2.35943639e-04	1.41066148e-04
5.05440598e+02	2.34369793e-04	1.40037823e-04
5.07042450e+02	2.32790959e-04	1.39006239e-04
5.08649379e+02	2.31207122e-04	1.37971385e-04
5.10261401e+02	2.29618265e-04	1.36933252e-04
5.11878532e+02	2.28043573e-04	1.35912611e-04
5.13500787e+02	2.26492050e-04	1.34919216e-04
5.15128184e+02	2.24935611e-04	1.33922672e-04
5.16760739e+02	2.23374238e-04	1.32922970e-04
5.18398468e+02	2.21807917e-04	1.31920099e-04
5.20041386e+02	2.20277836e-04	1.30943138e-04
5.21689512e+02	2.18771988e-04	1.29983611e-04
5.23342861e+02	2.17261367e-04	1.29021043e-04
5.25001450e+02	2.15745959e-04	1.28055424e-04
5.26665295e+02	2.14225748e-04	1.27086745e-04
5.28334413e+02	2.12700720e-04	1.26114996e-04
5.30008821e+02	2.11170858e-04	1.25140168e-04
5.31688536e+02	2.09636148e-04	1.24162250e-04
5.33373574e+02	2.08096574e-04	1.23181232e-04
5.35063952e+02	2.06552120e-04	1.22197106e-04
5.36759687e+02	2.05070032e-04	1.21257049e-04
5.38460797e+02	2.03586925e-04	1.20316593e-04
5.40167298e+02	2.02099117e-04	1.19373157e-04
5.41879207e+02	2.00606594e-04	1.18426731e-04
5.43596541e+02	1.99115303e-04	1.17481500e-04
5.45319318e+02	1.97659581e-04	1.16561629e-04
5.47047555e+02	1.96199245e-04	1.15638842e-04
5.48781269e+02	1.94734282e-04	1.14713131e-04
5.50520478e+02	1.93264675e-04	1.13784487e-04
5.52265199e+02	1.91804533e-04	1.12862851e-04
5.54015449e+02	1.90371267e-04	1.11960498e-04
5.55771246e+02	1.88933458e-04	1.11055285e-04
5.57532607e+02	1.87491092e-04	1.10147203e-04
5.59299550e+02	1.86044155e-04	1.09236243e-04
5.61072094e+02	1.84614936e-04	1.08337948e-04
5.62850255e+02	1.83204372e-04	1.07452973e-04
5.64634051e+02	1.81789338e-04	1.06565194e-04
5.66423501e+02	1.80369819e-04	1.05674601e-04
5.68218621e+02	1.78945802e-04	1.04781185e-04
5.70019431e+02	1.77547477e-04	1.03906092e-04
5.71825948e+02	1.76159522e-04	1.03038591e-04
5.73638191e+02	1.74767169e-04	1.02168341e-04
5.75456176e+02	1.73370403e-04	1.01295333e-04
5.77279924e+02	1.71969210e-04	1.00419559e-04
5.79109451e+02	1.70601845e-04	9.95674441e-05
5.80944776e+02	1.69236789e-04	9.87172179e-05
5.82785918e+02	1.67867407e-04	9.78642970e-05
5.84632895e+02	1.66493685e-04	9.70086731e-05
5.86485725e+02	1.65117087e-04	9.61513528e-05
5.88344428e+02	1.63779274e-04	9.53209686e-05
5.90209021e+02	1.62437221e-04	9.44879527e-05
5.92079523e+02	1.61090915e-04	9.36522968e-05
5.93955953e+02	1.59740343e-04	9.28139925e-05
5.95838330e+02	1.58394925e-04	9.19795394e-05
5.97726673e+02	1.57079967e-04	9.11663901e-05
5.99621000e+02	1.55760842e-04	9.03506637e-05
6.01521331e+02	1.54437536e-04	8.95323522e-05
6.03427685e+02	1.53110036e-04	8.87114472e-05
6.05340080e+02	1.51803641e-04	8.78997848e-05
6.07258536e+02	1.50531973e-04	8.71037374e-05
6.09183072e+02	1.49256275e-04	8.63051672e-05
6.11113707e+02	1.47976535e-04	8.55040661e-05
6.13050461e+02	1.46692738e-04	8.47004262e-05
6.14993353e+02	1.45404873e-04	8.39111059e-05
6.16942402e+02	1.44112926e-04	8.31317405e-05
6.18897628e+02	1.42816885e-04	8.23499051e-05
6.20859051e+02	1.41516736e-04	8.15655919e-05
6.22826690e+02	1.40212467e-04	8.07787930e-05
6.24800565e+02	1.38952754e-04	8.00113692e-05
