# W0 [GeV]	Sigma_muLHC@7.5 TeV [pb]	Sigma_muLHC@5.3 TeV [pb]
6.03171865e+02	5.46905572e-02	3.16915075e-02
6.05346533e+02	5.41573802e-02	3.13603954e-02
6.07529042e+02	5.36395868e-02	3.10361805e-02
6.09719420e+02	5.31199265e-02	3.07107967e-02
6.11917695e+02	5.25983927e-02	3.03842397e-02
6.14123896e+02	5.20749786e-02	3.00578724e-02
6.16338051e+02	5.15496773e-02	2.97410834e-02
6.18560188e+02	5.10224821e-02	2.94231523e-02
6.20790338e+02	5.04933862e-02	2.91040749e-02
6.23028528e+02	4.99623827e-02	2.87838470e-02
6.25274787e+02	4.94527901e-02	2.84729130e-02
6.27529146e+02	4.89446730e-02	2.81623418e-02
6.29791632e+02	4.84347239e-02	2.78506509e-02
6.32062275e+02	4.79229363e-02	2.75378363e-02
6.34341105e+02	4.74204049e-02	2.72314192e-02
6.36628150e+02	4.69223520e-02	2.69281614e-02
6.38923442e+02	4.64225034e-02	2.66238103e-02
6.41227009e+02	4.59208526e-02	2.63183619e-02
6.43538881e+02	4.54275413e-02	2.60164475e-02
6.45859088e+02	4.49475960e-02	2.57203624e-02
6.48187661e+02	4.44659203e-02	2.54232097e-02
6.50524629e+02	4.39825080e-02	2.51249857e-02
6.52870022e+02	4.34973528e-02	2.48275599e-02
6.55223872e+02	4.30104485e-02	2.45385907e-02
6.57586208e+02	4.25217886e-02	2.42485797e-02
6.59957062e+02	4.20313670e-02	2.39575231e-02
6.62336463e+02	4.15391771e-02	2.36654171e-02
6.64724443e+02	4.10686156e-02	2.33826586e-02
6.67121032e+02	4.05981913e-02	2.30996956e-02
6.69526262e+02	4.01260709e-02	2.28157125e-02
6.71940164e+02	3.96522483e-02	2.25307055e-02
6.74362769e+02	3.91934427e-02	2.22522712e-02
6.76794109e+02	3.87404985e-02	2.19762484e-02
6.79234214e+02	3.82859212e-02	2.16992304e-02
6.81683117e+02	3.78297050e-02	2.14212137e-02
6.84140849e+02	3.73718440e-02	2.11470896e-02
6.86607442e+02	3.69123322e-02	2.08778927e-02
6.89082928e+02	3.64511637e-02	2.06077253e-02
6.91567339e+02	3.59883325e-02	2.03365838e-02
6.94060708e+02	3.55290568e-02	2.00667476e-02
6.96563066e+02	3.50871043e-02	1.98042316e-02
6.99074446e+02	3.46435584e-02	1.95407691e-02
7.01594881e+02	3.41984134e-02	1.92763567e-02
7.04124402e+02	3.37516635e-02	1.90109911e-02
7.06663044e+02	3.33184213e-02	1.87548320e-02
7.09210839e+02	3.28839413e-02	1.84979672e-02
7.11767819e+02	3.24478947e-02	1.82401764e-02
7.14334018e+02	3.20102761e-02	1.79814561e-02
7.16909469e+02	3.15825062e-02	1.77293892e-02
7.19494206e+02	3.11571750e-02	1.74790566e-02
7.22088262e+02	3.07303104e-02	1.72278215e-02
7.24691670e+02	3.03019067e-02	1.69756805e-02
7.27304464e+02	2.98796469e-02	1.67276946e-02
7.29926679e+02	2.94634185e-02	1.64837901e-02
7.32558348e+02	2.90456896e-02	1.62390062e-02
7.35199505e+02	2.86264545e-02	1.59933397e-02
7.37850185e+02	2.82096991e-02	1.57494222e-02
7.40510421e+02	2.78023752e-02	1.55118429e-02
7.43180248e+02	2.73935828e-02	1.52734070e-02
7.45859701e+02	2.69833165e-02	1.50341114e-02
7.48548815e+02	2.65720223e-02	1.47942484e-02
7.51247624e+02	2.61735331e-02	1.45628691e-02
7.53956163e+02	2.57736072e-02	1.43306556e-02
7.56674467e+02	2.53722394e-02	1.40976049e-02
7.59402572e+02	2.49694245e-02	1.38637139e-02
7.62140513e+02	2.45766417e-02	1.36365102e-02
7.64888325e+02	2.41854351e-02	1.34104494e-02
7.67646044e+02	2.37928181e-02	1.31835737e-02
7.70413706e+02	2.33987855e-02	1.29558799e-02
7.73191346e+02	2.30113010e-02	1.27325713e-02
7.75979001e+02	2.26287819e-02	1.25126142e-02
7.78776706e+02	2.22448837e-02	1.22918641e-02
7.81584499e+02	2.18596014e-02	1.20703181e-02
7.84402414e+02	2.14774355e-02	1.18508754e-02
7.87230489e+02	2.11035100e-02	1.16368367e-02
7.90068760e+02	2.07282364e-02	1.14220264e-02
7.92917265e+02	2.03516098e-02	1.12064416e-02
7.95776039e+02	1.99747553e-02	1.09911552e-02
7.98645120e+02	1.96091671e-02	1.07871106e-02
8.01524546e+02	1.92422607e-02	1.05823304e-02
8.04414353e+02	1.88740316e-02	1.03768118e-02
8.07314579e+02	1.85044748e-02	1.01705523e-02
8.10225261e+02	1.81450437e-02	9.96354912e-03
8.13146437e+02	1.77864192e-02	9.75579962e-03
8.16078146e+02	1.74265017e-02	9.54730109e-03
8.19020424e+02	1.70652866e-02	9.33805085e-03
8.21973310e+02	1.67108524e-02	9.13600826e-03
8.24936843e+02	1.63603591e-02	8.93837780e-03
8.27911060e+02	1.60086022e-02	8.74003480e-03
8.30896001e+02	1.56555771e-02	8.54097670e-03
8.33891703e+02	1.53061552e-02	8.34431655e-03
8.36898206e+02	1.49637559e-02	8.15223964e-03
8.39915549e+02	1.46201222e-02	7.95947021e-03
8.42943770e+02	1.42752495e-02	7.76600577e-03
8.45982910e+02	1.39308580e-02	7.57346157e-03
8.49033006e+02	1.35964020e-02	7.39070798e-03
8.52094100e+02	1.32607401e-02	7.20729550e-03
8.55166229e+02	1.29238680e-02	7.02322174e-03
8.58249435e+02	1.25857814e-02	6.83848433e-03
8.61343758e+02	1.22577571e-02	6.65308086e-03
8.64449236e+02	1.19298510e-02	6.46700895e-03
8.67565911e+02	1.16007626e-02	6.28026617e-03
8.70693822e+02	1.12704877e-02	6.09285011e-03
8.73833011e+02	1.09472822e-02	5.91269429e-03
8.76983518e+02	1.06271799e-02	5.73598988e-03
8.80145384e+02	1.03059235e-02	5.55864838e-03
8.83318650e+02	9.98350879e-03	5.38066749e-03
8.86503356e+02	9.66511767e-03	5.20527921e-03
8.89699545e+02	9.35267703e-03	5.03368559e-03
8.92907257e+02	9.03910992e-03	4.86147331e-03
8.96126534e+02	8.72441228e-03	4.68864013e-03
8.99357418e+02	8.41080803e-03	4.51658196e-03
9.02599950e+02	8.10587332e-03	4.35005335e-03
9.05854173e+02	7.79983921e-03	4.18292435e-03
9.09120129e+02	7.49270173e-03	4.01519278e-03
9.12397859e+02	7.18445690e-03	3.84685647e-03
9.15687408e+02	6.88636246e-03	3.68493347e-03
