# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
1.07255238e+02	1.17945945e-01	2.80893370e-01	6.37806182e-01
1.08239733e+02	1.14461424e-01	2.74075268e-01	6.23733182e-01
1.09233265e+02	1.11088646e-01	2.67441038e-01	6.10013761e-01
1.10235916e+02	1.07816831e-01	2.60974216e-01	5.96611413e-01
1.11247771e+02	1.04585673e-01	2.54570367e-01	5.83323419e-01
1.12268913e+02	1.01602039e-01	2.48439551e-01	5.70560438e-01
1.13299429e+02	9.85957631e-02	2.42360323e-01	5.57985508e-01
1.14339403e+02	9.55618924e-02	2.36449124e-01	5.45939431e-01
1.15388924e+02	9.27789394e-02	2.30687114e-01	5.33782783e-01
1.16448077e+02	9.01242616e-02	2.24984473e-01	5.21514549e-01
1.17516953e+02	8.74452166e-02	2.19524311e-01	5.10035506e-01
1.18595641e+02	8.47415807e-02	2.14110088e-01	4.98731380e-01
1.19684229e+02	8.20131281e-02	2.08847242e-01	4.87907945e-01
1.20782810e+02	7.94711678e-02	2.03716293e-01	4.76985161e-01
1.21891474e+02	7.70260428e-02	1.98640617e-01	4.65962118e-01
1.23010315e+02	7.47032214e-02	1.94018360e-01	4.55639794e-01
1.24139425e+02	7.24065041e-02	1.89369263e-01	4.45476528e-01
1.25278900e+02	7.01888261e-02	1.84677492e-01	4.35753810e-01
1.26428834e+02	6.80370645e-02	1.79942656e-01	4.25941848e-01
1.27589323e+02	6.59159872e-02	1.75164358e-01	4.16039822e-01
1.28760465e+02	6.39013053e-02	1.70833659e-01	4.06767133e-01
1.29942356e+02	6.19263914e-02	1.66550687e-01	3.97574693e-01
1.31135096e+02	6.00620632e-02	1.62393725e-01	3.88629677e-01
1.32338784e+02	5.81806223e-02	1.58338707e-01	3.79886187e-01
1.33553520e+02	5.62819117e-02	1.54330767e-01	3.71233103e-01
1.34779407e+02	5.45348001e-02	1.50492280e-01	3.62920142e-01
1.36016546e+02	5.28106720e-02	1.46687719e-01	3.54671143e-01
1.37265041e+02	5.11485790e-02	1.42996840e-01	3.46647676e-01
1.38524996e+02	4.95650870e-02	1.39395842e-01	3.38801359e-01
1.39796515e+02	4.80251482e-02	1.35838385e-01	3.31038238e-01
1.41079706e+02	4.64710744e-02	1.32516578e-01	3.23576375e-01
1.42374676e+02	4.49441522e-02	1.29178513e-01	3.16173162e-01
1.43681532e+02	4.35097162e-02	1.25809808e-01	3.08978122e-01
1.45000383e+02	4.21178164e-02	1.22629436e-01	3.01942101e-01
1.46331341e+02	4.07486037e-02	1.19559461e-01	2.94984783e-01
1.47674515e+02	3.94485840e-02	1.16461306e-01	2.88297545e-01
1.49030018e+02	3.81642628e-02	1.13404446e-01	2.81663055e-01
1.50397963e+02	3.69284341e-02	1.10504882e-01	2.75217262e-01
1.51778465e+02	3.57291446e-02	1.07674737e-01	2.68911687e-01
1.53171638e+02	3.45502090e-02	1.04881514e-01	2.62678824e-01
1.54577599e+02	3.34312741e-02	1.02206576e-01	2.56686340e-01
1.55996466e+02	3.23261425e-02	9.95562835e-02	2.50741176e-01
1.57428356e+02	3.12637819e-02	9.69899582e-02	2.44966998e-01
1.58873390e+02	3.02328225e-02	9.44849444e-02	2.39318629e-01
1.60331687e+02	2.92201133e-02	9.20140895e-02	2.33738831e-01
1.61803371e+02	2.82592131e-02	8.96472610e-02	2.28374480e-01
1.63288562e+02	2.73104402e-02	8.73024545e-02	2.23052745e-01
1.64787387e+02	2.63993823e-02	8.50332747e-02	2.17886011e-01
1.66299969e+02	2.55151675e-02	8.28177013e-02	2.12830583e-01
1.67826435e+02	2.46472143e-02	8.06333330e-02	2.07838664e-01
1.69366912e+02	2.38237671e-02	7.85407427e-02	2.03038952e-01
1.70921530e+02	2.30109459e-02	7.64678788e-02	1.98277953e-01
1.72490417e+02	2.22313168e-02	7.44631580e-02	1.93658495e-01
1.74073705e+02	2.14747752e-02	7.25057554e-02	1.89136595e-01
1.75671526e+02	2.07328187e-02	7.05771689e-02	1.84672821e-01
1.77284014e+02	2.00291544e-02	6.87294423e-02	1.80379134e-01
1.78911302e+02	1.93347177e-02	6.68993308e-02	1.76120573e-01
1.80553528e+02	1.86691948e-02	6.51304385e-02	1.71991512e-01
1.82210827e+02	1.80233214e-02	6.34028495e-02	1.67948678e-01
1.83883339e+02	1.73903669e-02	6.17015052e-02	1.63959557e-01
1.85571202e+02	1.68395984e-02	6.00709987e-02	1.60121490e-01
1.87274559e+02	1.62925479e-02	5.84562134e-02	1.56315004e-01
1.88993550e+02	1.57404760e-02	5.68964856e-02	1.52625890e-01
1.90728321e+02	1.51833366e-02	5.53729209e-02	1.49013277e-01
1.92479014e+02	1.46210833e-02	5.38733257e-02	1.45450482e-01
1.94245778e+02	1.40536690e-02	5.24365797e-02	1.42023520e-01
1.96028758e+02	1.35035279e-02	5.10139710e-02	1.38625221e-01
1.97828104e+02	1.30222262e-02	4.96409553e-02	1.35333580e-01
1.99643967e+02	1.25552227e-02	4.82994174e-02	1.32109254e-01
2.01476497e+02	1.20983931e-02	4.69796235e-02	1.28930685e-01
2.03325848e+02	1.16655063e-02	4.57149588e-02	1.25872524e-01
2.05192175e+02	1.12386848e-02	4.44628225e-02	1.22840185e-01
2.07075632e+02	1.08310483e-02	4.32549007e-02	1.19904617e-01
2.08976377e+02	1.04355277e-02	4.20744815e-02	1.17028373e-01
2.10894570e+02	1.00489677e-02	4.09138683e-02	1.14194227e-01
2.12830369e+02	9.68276296e-03	3.98017272e-02	1.11465900e-01
2.14783938e+02	9.32180124e-03	3.87007863e-02	1.08760552e-01
2.16755437e+02	8.97748075e-03	3.76395418e-02	1.06142430e-01
2.18745034e+02	8.64338969e-03	3.66023481e-02	1.03576807e-01
2.20752893e+02	8.31715498e-03	3.55832001e-02	1.01050065e-01
2.22779182e+02	8.01748258e-03	3.46064055e-02	9.86180952e-02
2.24824070e+02	7.71899541e-03	3.36395184e-02	9.62195812e-02
2.26887728e+02	7.41776843e-03	3.27079764e-02	9.39468575e-02
2.28970329e+02	7.13134037e-03	3.17972608e-02	9.16532725e-02
2.31072046e+02	6.85700369e-03	3.09028070e-02	8.93386347e-02
2.33193054e+02	6.59736698e-03	3.00456889e-02	8.71639009e-02
2.35333531e+02	6.34163918e-03	2.91974600e-02	8.50159720e-02
