# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]
5.05655633e+02	1.10161378e-03	5.00888985e-02
5.07478718e+02	1.07986724e-03	4.96627832e-02
5.09308376e+02	1.05804229e-03	4.92351316e-02
5.11144630e+02	1.03613866e-03	4.88059382e-02
5.12987505e+02	1.01577142e-03	4.83964841e-02
5.14837023e+02	9.95401502e-04	4.79864862e-02
5.16693211e+02	9.74958146e-04	4.75750101e-02
5.18556090e+02	9.54441083e-04	4.71620504e-02
5.20425686e+02	9.35013711e-04	4.67629286e-02
5.22302023e+02	9.15967364e-04	4.63683088e-02
5.24185124e+02	8.96852348e-04	4.59722663e-02
5.26075015e+02	8.77668415e-04	4.55747958e-02
5.27971719e+02	8.59161384e-04	4.51758924e-02
5.29875262e+02	8.41384690e-04	4.47755507e-02
5.31785668e+02	8.23543903e-04	4.43737656e-02
5.33702962e+02	8.05638793e-04	4.39705320e-02
5.35627168e+02	7.88030014e-04	4.35710771e-02
5.37558311e+02	7.71461014e-04	4.31861786e-02
5.39496418e+02	7.54832276e-04	4.27998925e-02
5.41441512e+02	7.38143586e-04	4.24122136e-02
5.43393618e+02	7.21408222e-04	4.20232709e-02
5.45352763e+02	7.05989279e-04	4.16465803e-02
5.47318971e+02	6.90514744e-04	4.12685316e-02
5.49292269e+02	6.74984417e-04	4.08891199e-02
5.51272680e+02	6.59398097e-04	4.05083403e-02
5.53260232e+02	6.44770329e-04	4.01366656e-02
5.55254950e+02	6.30389012e-04	3.97667400e-02
5.57256859e+02	6.15955845e-04	3.93954808e-02
5.59265987e+02	6.01470641e-04	3.90228830e-02
5.61282357e+02	5.87601234e-04	3.86560769e-02
5.63305998e+02	5.74262214e-04	3.82941475e-02
5.65336935e+02	5.60875102e-04	3.79309131e-02
5.67375194e+02	5.47439724e-04	3.75663692e-02
5.69420801e+02	5.34308750e-04	3.72044460e-02
5.71473784e+02	5.21961495e-04	3.68504863e-02
5.73534169e+02	5.09569723e-04	3.64952505e-02
5.75601982e+02	4.97133274e-04	3.61387339e-02
5.77677251e+02	4.84720498e-04	3.57817250e-02
5.79760001e+02	4.73313795e-04	3.54355923e-02
5.81850261e+02	4.61865968e-04	3.50882117e-02
5.83948057e+02	4.50376866e-04	3.47395786e-02
5.86053416e+02	4.38846342e-04	3.43896886e-02
5.88166366e+02	4.28148168e-04	3.40490600e-02
5.90286934e+02	4.17598091e-04	3.37094509e-02
5.92415147e+02	4.07009976e-04	3.33686173e-02
5.94551034e+02	3.96383687e-04	3.30265550e-02
5.96694621e+02	3.86304966e-04	3.26906795e-02
5.98845936e+02	3.76602623e-04	3.23588201e-02
6.01005008e+02	3.66865299e-04	3.20257642e-02
6.03171865e+02	3.57092868e-04	3.16915075e-02
6.05346533e+02	3.47613302e-04	3.13603954e-02
6.07529042e+02	3.38709848e-04	3.10361805e-02
6.09719420e+02	3.29774293e-04	3.07107967e-02
6.11917695e+02	3.20806522e-04	3.03842397e-02
6.14123896e+02	3.11905914e-04	3.00578724e-02
6.16338051e+02	3.03755986e-04	2.97410834e-02
6.18560188e+02	2.95576674e-04	2.94231523e-02
6.20790338e+02	2.87367872e-04	2.91040749e-02
6.23028528e+02	2.79129475e-04	2.87838470e-02
6.25274787e+02	2.71586642e-04	2.84729130e-02
6.27529146e+02	2.64119621e-04	2.81623418e-02
6.29791632e+02	2.56625678e-04	2.78506509e-02
6.32062275e+02	2.49104717e-04	2.75378363e-02
6.34341105e+02	2.42052105e-04	2.72314192e-02
6.36628150e+02	2.35254809e-04	2.69281614e-02
6.38923442e+02	2.28433005e-04	2.66238103e-02
6.41227009e+02	2.21586607e-04	2.63183619e-02
6.43538881e+02	2.15006710e-04	2.60164475e-02
6.45859088e+02	2.08837647e-04	2.57203624e-02
6.48187661e+02	2.02646342e-04	2.54232097e-02
6.50524629e+02	1.96432715e-04	2.51249857e-02
6.52870022e+02	1.90307650e-04	2.48275599e-02
6.55223872e+02	1.84724891e-04	2.45385907e-02
6.57586208e+02	1.79122004e-04	2.42485797e-02
6.59957062e+02	1.73498917e-04	2.39575231e-02
6.62336463e+02	1.67855556e-04	2.36654171e-02
6.64724443e+02	1.62774930e-04	2.33826586e-02
6.67121032e+02	1.57721675e-04	2.30996956e-02
6.69526262e+02	1.52650200e-04	2.28157125e-02
6.71940164e+02	1.47560441e-04	2.25307055e-02
6.74362769e+02	1.42855758e-04	2.22522712e-02
6.76794109e+02	1.38315394e-04	2.19762484e-02
6.79234214e+02	1.33758661e-04	2.16992304e-02
6.81683117e+02	1.29185499e-04	2.14212137e-02
6.84140849e+02	1.24841117e-04	2.11470896e-02
6.86607442e+02	1.20777476e-04	2.08778927e-02
6.89082928e+02	1.16699183e-04	2.06077253e-02
6.91567339e+02	1.12606187e-04	2.03365838e-02
6.94060708e+02	1.08652859e-04	2.00667476e-02
6.96563066e+02	1.05246287e-04	1.98042316e-02
6.99074446e+02	1.01827433e-04	1.95407691e-02
7.01594881e+02	9.83962530e-05	1.92763567e-02
7.04124402e+02	9.49527021e-05	1.90109911e-02
7.06663044e+02	9.14967359e-05	1.87548320e-02
7.09210839e+02	8.80283096e-05	1.84979672e-02
7.11767819e+02	8.45473783e-05	1.82401764e-02
7.14334018e+02	8.10538969e-05	1.79814561e-02
7.16909469e+02	7.81765528e-05	1.77293892e-02
7.19494206e+02	7.55078900e-05	1.74790566e-02
7.22088262e+02	7.28296057e-05	1.72278215e-02
7.24691670e+02	7.01416651e-05	1.69756805e-02
7.27304464e+02	6.74440334e-05	1.67276946e-02
7.29926679e+02	6.47366758e-05	1.64837901e-02
7.32558348e+02	6.20195570e-05	1.62390062e-02
7.35199505e+02	5.92926420e-05	1.59933397e-02
7.37850185e+02	5.67051179e-05	1.57494222e-02
7.40510421e+02	5.45170745e-05	1.55118429e-02
7.43180248e+02	5.23211422e-05	1.52734070e-02
7.45859701e+02	5.01172928e-05	1.50341114e-02
7.48548815e+02	4.79152480e-05	1.47942484e-02
7.51247624e+02	4.60139952e-05	1.45628691e-02
7.53956163e+02	4.41058877e-05	1.43306556e-02
7.56674467e+02	4.21909007e-05	1.40976049e-02
7.59402572e+02	4.02690095e-05	1.38637139e-02
7.62140513e+02	3.85687822e-05	1.36365102e-02
7.64888325e+02	3.69219877e-05	1.34104494e-02
7.67646044e+02	3.52692558e-05	1.31835737e-02
7.70413706e+02	3.36105653e-05	1.29558799e-02
7.73191346e+02	3.21488147e-05	1.27325713e-02
7.75979001e+02	3.08438120e-05	1.25126142e-02
7.78776706e+02	2.95341041e-05	1.22918641e-02
7.81584499e+02	2.82196743e-05	1.20703181e-02
7.84402414e+02	2.69005055e-05	1.18508754e-02
7.87230489e+02	2.55765805e-05	1.16368367e-02
7.90068760e+02	2.42478823e-05	1.14220264e-02
7.92917265e+02	2.29143935e-05	1.12064416e-02
7.95776039e+02	2.16031700e-05	1.09911552e-02
7.98645120e+02	2.05896809e-05	1.07871106e-02
8.01524546e+02	1.95725378e-05	1.05823304e-02
8.04414353e+02	1.85517275e-05	1.03768118e-02
8.07314579e+02	1.75272367e-05	1.01705523e-02
8.10225261e+02	1.67121114e-05	9.96354912e-03
8.13146437e+02	1.59331431e-05	9.75579962e-03
8.16078146e+02	1.51513663e-05	9.54730109e-03
8.19020424e+02	1.43667708e-05	9.33805085e-03
8.21973310e+02	1.35793466e-05	9.13600826e-03
8.24936843e+02	1.27890835e-05	8.93837780e-03
8.27911060e+02	1.19959711e-05	8.74003480e-03
8.30896001e+02	1.11999993e-05	8.54097670e-03
8.33891703e+02	1.04838827e-05	8.34431655e-03
8.36898206e+02	9.90570279e-06	8.15223964e-03
8.39915549e+02	9.32543829e-06	7.95947021e-03
8.42943770e+02	8.74308170e-06	7.76600577e-03
8.45982910e+02	8.17437605e-06	7.57346157e-03
8.49033006e+02	7.70570122e-06	7.39070798e-03
8.52094100e+02	7.23533664e-06	7.20729550e-03
8.55166229e+02	6.76327620e-06	7.02322174e-03
8.58249435e+02	6.28951381e-06	6.83848433e-03
8.61343758e+02	5.90401677e-06	6.65308086e-03
8.64449236e+02	5.52750394e-06	6.46700895e-03
8.67565911e+02	5.14963364e-06	6.28026617e-03
8.70693822e+02	4.77040097e-06	6.09285011e-03
8.73833011e+02	4.44543568e-06	5.91269429e-03
8.76983518e+02	4.14804824e-06	5.73598988e-03
8.80145384e+02	3.84958859e-06	5.55864838e-03
8.83318650e+02	3.55005289e-06	5.38066749e-03
8.86503356e+02	3.27906770e-06	5.20527921e-03
8.89699545e+02	3.04766258e-06	5.03368559e-03
8.92907257e+02	2.81542315e-06	4.86147331e-03
8.96126534e+02	2.58234641e-06	4.68864013e-03
8.99357418e+02	2.35911961e-06	4.51658196e-03
9.02599950e+02	2.18211078e-06	4.35005335e-03
9.05854173e+02	2.00446378e-06	4.18292435e-03
9.09120129e+02	1.82617628e-06	4.01519278e-03
9.12397859e+02	1.64724600e-06	3.84685647e-03
9.15687408e+02	1.51189286e-06	3.68493347e-03
9.18988816e+02	1.37846192e-06	3.52280928e-03
9.22302127e+02	1.24454991e-06	3.36010058e-03
9.25627384e+02	1.11015509e-06	3.19680525e-03
9.28964630e+02	1.00164031e-06	3.03804246e-03
9.32313908e+02	9.03454094e-07	2.88078957e-03
9.35675261e+02	8.04913883e-07	2.72296973e-03
9.39048733e+02	7.06018396e-07	2.56458089e-03
9.42434368e+02	6.20495131e-07	2.40895276e-03
9.45832210e+02	5.49912147e-07	2.25646415e-03
9.49242302e+02	4.79074683e-07	2.10342575e-03
9.52664689e+02	4.07981824e-07	1.94983559e-03
9.56099414e+02	3.41881582e-07	1.79732038e-03
9.59546524e+02	2.92461964e-07	1.64950510e-03
9.63006061e+02	2.42864168e-07	1.50115689e-03
9.66478072e+02	1.93087553e-07	1.35227382e-03
9.69962600e+02	1.43131474e-07	1.20285398e-03
