# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
4.91657715e+02	1.17042015e-05	2.33003439e-04	1.00552431e-03
4.92677274e+02	1.15564717e-05	2.31515666e-04	1.00021437e-03
4.93698947e+02	1.14084356e-05	2.30024808e-04	9.94893416e-04
4.94722738e+02	1.12600924e-05	2.28530859e-04	9.89561428e-04
4.95748653e+02	1.11114417e-05	2.27033811e-04	9.84218384e-04
4.96776695e+02	1.09776581e-05	2.25589314e-04	9.79017995e-04
4.97806869e+02	1.08455547e-05	2.24149001e-04	9.73826654e-04
4.98839180e+02	1.07131774e-05	2.22705701e-04	9.68624548e-04
4.99873631e+02	1.05805255e-05	2.21259409e-04	9.63411653e-04
5.00910227e+02	1.04475985e-05	2.19810117e-04	9.58187949e-04
5.01948973e+02	1.03143959e-05	2.18357819e-04	9.52953413e-04
5.02989872e+02	1.01809171e-05	2.16902510e-04	9.47708021e-04
5.04032931e+02	1.00528127e-05	2.15477518e-04	9.42591768e-04
5.05078152e+02	9.92956587e-06	2.14079790e-04	9.37591838e-04
5.06125541e+02	9.80606342e-06	2.12679163e-04	9.32581539e-04
5.07175102e+02	9.68230486e-06	2.11275632e-04	9.27560851e-04
5.08226839e+02	9.55828967e-06	2.09869190e-04	9.22529751e-04
5.09280758e+02	9.43401730e-06	2.08459832e-04	9.17488217e-04
5.10336862e+02	9.30948722e-06	2.07047551e-04	9.12436230e-04
5.11395156e+02	9.18638266e-06	2.05642687e-04	9.07373765e-04
5.12455644e+02	9.07162981e-06	2.04287789e-04	9.02300803e-04
5.13518332e+02	8.95663900e-06	2.02930082e-04	8.97217320e-04
5.14583223e+02	8.84140973e-06	2.01569560e-04	8.92123296e-04
5.15650323e+02	8.72594150e-06	2.00206216e-04	8.87018709e-04
5.16719636e+02	8.61023383e-06	1.98840045e-04	8.81903536e-04
5.17791166e+02	8.49428622e-06	1.97471042e-04	8.76777755e-04
5.18864918e+02	8.37809816e-06	1.96099199e-04	8.71641346e-04
5.19940897e+02	8.26960820e-06	1.94774992e-04	8.66716895e-04
5.21019107e+02	8.16284631e-06	1.93460459e-04	8.61836997e-04
5.22099553e+02	8.05586302e-06	1.92143199e-04	8.56946978e-04
5.23182239e+02	7.94865788e-06	1.90823208e-04	8.52046819e-04
5.24267171e+02	7.84123042e-06	1.89500480e-04	8.47136499e-04
5.25354352e+02	7.73358019e-06	1.88175008e-04	8.42215996e-04
5.26443788e+02	7.62570673e-06	1.86846788e-04	8.37285289e-04
5.27535483e+02	7.52178835e-06	1.85543550e-04	8.32426957e-04
5.28629442e+02	7.42294180e-06	1.84272705e-04	8.27663062e-04
5.29725670e+02	7.32389027e-06	1.82999225e-04	8.22889288e-04
5.30824171e+02	7.22463334e-06	1.81723104e-04	8.18105614e-04
5.31924950e+02	7.12517057e-06	1.80444336e-04	8.13312021e-04
