# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
6.09183072e+02	7.58009270e-07	3.11042589e-05	1.50989566e-04
6.11113707e+02	7.37007443e-07	3.06791929e-05	1.49232809e-04
6.13050461e+02	7.15939057e-07	3.02527798e-05	1.47470485e-04
6.14993353e+02	6.96240007e-07	2.98407505e-05	1.45756116e-04
6.16942402e+02	6.77539129e-07	2.94390363e-05	1.44075853e-04
6.18897628e+02	6.58778984e-07	2.90360490e-05	1.42390265e-04
6.20859051e+02	6.39959383e-07	2.86317845e-05	1.40699335e-04
6.22826690e+02	6.21080140e-07	2.82262388e-05	1.39003047e-04
6.24800565e+02	6.03867263e-07	2.78391381e-05	1.37369778e-04
6.26780696e+02	5.87156717e-07	2.74571756e-05	1.35753399e-04
6.28767102e+02	5.70393211e-07	2.70740026e-05	1.34131896e-04
6.30759803e+02	5.53576577e-07	2.66896153e-05	1.32505255e-04
6.32758820e+02	5.36706648e-07	2.63040097e-05	1.30873459e-04
6.34764172e+02	5.21735592e-07	2.59405589e-05	1.29318487e-04
6.36775879e+02	5.06848153e-07	2.55775255e-05	1.27764093e-04
6.38793962e+02	4.91913533e-07	2.52133416e-05	1.26204772e-04
6.40818441e+02	4.76931581e-07	2.48480036e-05	1.24640509e-04
6.42849335e+02	4.62125681e-07	2.44843240e-05	1.23085802e-04
6.44886666e+02	4.48945872e-07	2.41405706e-05	1.21634789e-04
6.46930454e+02	4.35724294e-07	2.37957277e-05	1.20179179e-04
6.48980719e+02	4.22460814e-07	2.34497920e-05	1.18718954e-04
6.51037482e+02	4.09155300e-07	2.31027599e-05	1.17254103e-04
6.53100763e+02	3.96320633e-07	2.27614597e-05	1.15784608e-04
6.55170583e+02	3.84650905e-07	2.24351325e-05	1.14310457e-04
6.57246963e+02	3.72944194e-07	2.21077712e-05	1.12831634e-04
6.59329923e+02	3.61200382e-07	2.17793723e-05	1.11348124e-04
6.61419485e+02	3.49419351e-07	2.14499327e-05	1.09859912e-04
6.63515669e+02	3.38347214e-07	2.11298637e-05	1.08424888e-04
6.65618496e+02	3.28050812e-07	2.08200966e-05	1.07048233e-04
6.67727987e+02	3.17721778e-07	2.05093478e-05	1.05667215e-04
